Time,Edge,EdgeLength,JamLength,Density,MeanSpeed,MeanOccupancy,Status
21601.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21602.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21603.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21604.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21605.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21606.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21607.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21608.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21609.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21610.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21611.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21612.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21613.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21614.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21615.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21616.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21617.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21618.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21619.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21620.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21621.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21622.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21623.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21624.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21625.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21626.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21627.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21628.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21629.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21630.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21631.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21632.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21633.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21634.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21635.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21636.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21637.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21638.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21639.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21640.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21641.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21642.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21643.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21644.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21645.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21646.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21647.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21648.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21649.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21650.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21651.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21652.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21653.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21654.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21655.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21656.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21657.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21658.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21659.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21660.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21661.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21662.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21663.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21664.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21665.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21666.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21667.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21668.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21669.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21670.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21671.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21672.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21673.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21674.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21675.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21676.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21677.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21678.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21679.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21680.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21681.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21682.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21683.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21684.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21685.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21686.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21687.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21688.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21689.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21690.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21691.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21692.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21693.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21694.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21695.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21696.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21697.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21698.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21699.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21700.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21701.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21702.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21703.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21704.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21705.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21706.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21707.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21708.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21709.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21710.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21711.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21712.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21713.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21714.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21715.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21716.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21717.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21718.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21719.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21720.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21721.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21722.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21723.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21724.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21725.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21726.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21727.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21728.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21729.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21730.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21731.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21732.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21733.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21734.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21735.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21736.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21737.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21738.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21739.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21740.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21741.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21742.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21743.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21744.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21745.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21746.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21747.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21748.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21749.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21750.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21751.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21752.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21753.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21754.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21755.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21756.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21757.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21758.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21759.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21760.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21761.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21762.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21763.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21764.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21765.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21766.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21767.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21768.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21769.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21770.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21771.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21772.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21773.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21774.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21775.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21776.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21777.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
21778.0,L58#1,371.54,0.0,0.0,0.0,0.0,0
