Time,Edge,EdgeLength,JamLength,Density,MeanSpeed,MeanOccupancy,Status
21601.0,L138,112.16,0.0,0.0,0.0,0.0,0
21602.0,L138,112.16,0.0,0.0,0.0,0.0,0
21603.0,L138,112.16,0.0,0.0,0.0,0.0,0
21604.0,L138,112.16,0.0,0.0,0.0,0.0,0
21605.0,L138,112.16,0.0,0.0,0.0,0.0,0
21606.0,L138,112.16,0.0,0.0,0.0,0.0,0
21607.0,L138,112.16,0.0,0.0,0.0,0.0,0
21608.0,L138,112.16,0.0,0.0,0.0,0.0,0
21609.0,L138,112.16,0.0,0.0,0.0,0.0,0
21610.0,L138,112.16,0.0,0.0,0.0,0.0,0
21611.0,L138,112.16,0.0,0.0,0.0,0.0,0
21612.0,L138,112.16,0.0,0.0,0.0,0.0,0
21613.0,L138,112.16,0.0,0.0,0.0,0.0,0
21614.0,L138,112.16,0.0,0.0,0.0,0.0,0
21615.0,L138,112.16,0.0,0.0,0.0,0.0,0
21616.0,L138,112.16,0.0,0.0,0.0,0.0,0
21617.0,L138,112.16,0.0,0.0,0.0,0.0,0
21618.0,L138,112.16,0.0,0.0,0.0,0.0,0
21619.0,L138,112.16,0.0,0.0,0.0,0.0,0
21620.0,L138,112.16,0.0,0.0,0.0,0.0,0
21621.0,L138,112.16,0.0,0.0,0.0,0.0,0
21622.0,L138,112.16,0.0,0.0,0.0,0.0,0
21623.0,L138,112.16,0.0,0.0,0.0,0.0,0
21624.0,L138,112.16,0.0,0.0,0.0,0.0,0
21625.0,L138,112.16,0.0,0.0,0.0,0.0,0
21626.0,L138,112.16,0.0,0.0,0.0,0.0,0
21627.0,L138,112.16,0.0,0.0,0.0,0.0,0
21628.0,L138,112.16,0.0,0.0,0.0,0.0,0
21629.0,L138,112.16,0.0,0.0,0.0,0.0,0
21630.0,L138,112.16,0.0,0.0,0.0,0.0,0
21631.0,L138,112.16,0.0,0.0,0.0,0.0,0
21632.0,L138,112.16,0.0,0.0,0.0,0.0,0
21633.0,L138,112.16,0.0,0.0,0.0,0.0,0
21634.0,L138,112.16,0.0,0.0,0.0,0.0,0
21635.0,L138,112.16,0.0,0.0,0.0,0.0,0
21636.0,L138,112.16,0.0,0.0,0.0,0.0,0
21637.0,L138,112.16,0.0,0.0,0.0,0.0,0
21638.0,L138,112.16,0.0,0.0,0.0,0.0,0
21639.0,L138,112.16,0.0,0.0,0.0,0.0,0
21640.0,L138,112.16,0.0,0.0,0.0,0.0,0
21641.0,L138,112.16,0.0,0.0,0.0,0.0,0
21642.0,L138,112.16,0.0,0.0,0.0,0.0,0
21643.0,L138,112.16,0.0,0.0,0.0,0.0,0
21644.0,L138,112.16,0.0,0.0,0.0,0.0,0
21645.0,L138,112.16,0.0,0.0,0.0,0.0,0
21646.0,L138,112.16,0.0,0.0,0.0,0.0,0
21647.0,L138,112.16,0.0,0.0,0.0,0.0,0
21648.0,L138,112.16,0.0,0.0,0.0,0.0,0
21649.0,L138,112.16,0.0,0.0,0.0,0.0,0
21650.0,L138,112.16,0.0,0.0,0.0,0.0,0
21651.0,L138,112.16,0.0,0.0,0.0,0.0,0
21652.0,L138,112.16,0.0,0.0,0.0,0.0,0
21653.0,L138,112.16,0.0,0.0,0.0,0.0,0
21654.0,L138,112.16,0.0,0.0,0.0,0.0,0
21655.0,L138,112.16,0.0,0.0,0.0,0.0,0
21656.0,L138,112.16,0.0,0.0,0.0,0.0,0
21657.0,L138,112.16,0.0,0.0,0.0,0.0,0
21658.0,L138,112.16,0.0,0.0,0.0,0.0,0
21659.0,L138,112.16,0.0,0.0,0.0,0.0,0
21660.0,L138,112.16,0.0,0.0,0.0,0.0,0
21661.0,L138,112.16,0.0,0.0,0.0,0.0,0
21662.0,L138,112.16,0.0,0.0,0.0,0.0,0
21663.0,L138,112.16,0.0,0.0,0.0,0.0,0
21664.0,L138,112.16,0.0,0.0,0.0,0.0,0
21665.0,L138,112.16,0.0,0.0,0.0,0.0,0
21666.0,L138,112.16,0.0,0.0,0.0,0.0,0
21667.0,L138,112.16,0.0,0.0,0.0,0.0,0
21668.0,L138,112.16,0.0,0.0,0.0,0.0,0
21669.0,L138,112.16,0.0,0.0,0.0,0.0,0
21670.0,L138,112.16,0.0,0.0,0.0,0.0,0
21671.0,L138,112.16,0.0,0.0,0.0,0.0,0
21672.0,L138,112.16,0.0,0.0,0.0,0.0,0
21673.0,L138,112.16,0.0,0.0,0.0,0.0,0
21674.0,L138,112.16,0.0,0.0,0.0,0.0,0
21675.0,L138,112.16,0.0,0.0,0.0,0.0,0
21676.0,L138,112.16,0.0,0.0,0.0,0.0,0
21677.0,L138,112.16,0.0,0.0,0.0,0.0,0
21678.0,L138,112.16,0.0,0.0,0.0,0.0,0
21679.0,L138,112.16,0.0,0.0,0.0,0.0,0
21680.0,L138,112.16,0.0,0.0,0.0,0.0,0
21681.0,L138,112.16,0.0,0.0,0.0,0.0,0
21682.0,L138,112.16,0.0,0.0,0.0,0.0,0
21683.0,L138,112.16,0.0,0.0,0.0,0.0,0
21684.0,L138,112.16,0.0,0.0,0.0,0.0,0
21685.0,L138,112.16,0.0,0.0,0.0,0.0,0
21686.0,L138,112.16,0.0,0.0,0.0,0.0,0
21687.0,L138,112.16,0.0,0.0,0.0,0.0,0
21688.0,L138,112.16,0.0,0.0,0.0,0.0,0
21689.0,L138,112.16,0.0,0.0,0.0,0.0,0
21690.0,L138,112.16,0.0,0.0,0.0,0.0,0
21691.0,L138,112.16,0.0,0.0,0.0,0.0,0
21692.0,L138,112.16,0.0,0.0,0.0,0.0,0
21693.0,L138,112.16,0.0,0.0,0.0,0.0,0
21694.0,L138,112.16,0.0,0.0,0.0,0.0,0
21695.0,L138,112.16,0.0,0.0,0.0,0.0,0
21696.0,L138,112.16,0.0,0.0,0.0,0.0,0
21697.0,L138,112.16,0.0,0.0,0.0,0.0,0
21698.0,L138,112.16,0.0,0.0,0.0,0.0,0
21699.0,L138,112.16,0.0,0.0,0.0,0.0,0
21700.0,L138,112.16,0.0,0.0,0.0,0.0,0
21701.0,L138,112.16,0.0,0.0,0.0,0.0,0
21702.0,L138,112.16,0.0,0.0,0.0,0.0,0
21703.0,L138,112.16,0.0,0.0,0.0,0.0,0
21704.0,L138,112.16,0.0,0.0,0.0,0.0,0
21705.0,L138,112.16,0.0,0.0,0.0,0.0,0
21706.0,L138,112.16,0.0,0.0,0.0,0.0,0
21707.0,L138,112.16,0.0,0.0,0.0,0.0,0
21708.0,L138,112.16,0.0,0.0,0.0,0.0,0
21709.0,L138,112.16,0.0,0.0,0.0,0.0,0
21710.0,L138,112.16,0.0,0.0,0.0,0.0,0
21711.0,L138,112.16,0.0,0.0,0.0,0.0,0
21712.0,L138,112.16,0.0,0.0,0.0,0.0,0
21713.0,L138,112.16,0.0,0.0,0.0,0.0,0
21714.0,L138,112.16,0.0,0.0,0.0,0.0,0
21715.0,L138,112.16,0.0,0.0,0.0,0.0,0
